,uniqueID,Higher.Taxa,Taxa,Detailed.Taxa,Genus,Species,Functional.Group,Functional.simplified,PI,Seeded (yes/no),exclosure (field/exclosure/addition),notes
1774InvertebrateArthropodaCryptophagidaeAtomariabella,1774,Invertebrate,Arthropoda,Cryptophagidae,Atomaria,bella,Fungivore,Herbivorous,BA,no,exclosure,
1774InvertebrateArthropodaCiidaeCislineatocribratus,1774,Invertebrate,Arthropoda,Ciidae,Cis,lineatocribratus,Fungivore,Herbivorous,BA,no,exclosure,
1774InvertebrateArthropodaCryptophagidaeCryptophagusdorsalis,1774,Invertebrate,Arthropoda,Cryptophagidae,Cryptophagus,dorsalis,Fungivore,Herbivorous,BA,no,exclosure,
1774InvertebrateArthropodaAlexiidaeSphaerosomapilosum,1774,Invertebrate,Arthropoda,Alexiidae,Sphaerosoma,pilosum,Fungivore,Herbivorous,BA,no,exclosure,
2012InvertebrateArthropodaHymenopteraPogonomyrmexoccidentalis,2012,Invertebrate,Arthropoda,Hymenoptera,Pogonomyrmex,occidentalis,Granivorous,Herbivorous,BA,no,field,
1775VertebrateAvesBubalornisalbirostris,1775,Vertebrate,Aves,,Bubalornis,albirostris,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesEremopterixnigriceps,1775,Vertebrate,Aves,,Eremopterix,nigriceps,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesEuodicecantans,1775,Vertebrate,Aves,,Euodice,cantans,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesGymnorisdentata,1775,Vertebrate,Aves,,Gymnoris,dentata,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesLamprotorniscaudatus,1775,Vertebrate,Aves,,Lamprotornis,caudatus,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesLamprotornischalybaeus,1775,Vertebrate,Aves,,Lamprotornis,chalybaeus,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesOecapensis,1775,Vertebrate,Aves,,Oe,capensis,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesPassergriseus,1775,Vertebrate,Aves,,Passer,griseus,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesPasserluteus,1775,Vertebrate,Aves,,Passer,luteus,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesPloceusluteolus,1775,Vertebrate,Aves,,Ploceus,luteolus,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesPternistisbicalcaratus,1775,Vertebrate,Aves,,Pternistis,bicalcaratus,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesPytiliamelba,1775,Vertebrate,Aves,,Pytilia,melba,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesSpilopeliasenegalensis,1775,Vertebrate,Aves,,Spilopelia,senegalensis,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesSporopipesfrontalis,1775,Vertebrate,Aves,,Sporopipes,frontalis,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesStreptopeliadecipiens,1775,Vertebrate,Aves,,Streptopelia,decipiens,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesStreptopeliaroseogrisea,1775,Vertebrate,Aves,,Streptopelia,roseogrisea,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesStreptopeliavicea,1775,Vertebrate,Aves,,Streptopelia,vicea,Granivorous,Herbivorous,BA,no,exclosure,
1775VertebrateAvesUraeginthusbengalus,1775,Vertebrate,Aves,,Uraeginthus,bengalus,Granivorous,Herbivorous,BA,no,exclosure,
239InvertebrateArthropodaColeopteraAmarasp.,239,Invertebrate,Arthropoda,Coleoptera,Amara,sp.,Herbivore,Herbivorous,AF,no,field,
239InvertebrateArthropodaColeopteraArnaraaenea,239,Invertebrate,Arthropoda,Coleoptera,Arnara,aenea,Herbivore,Herbivorous,AF,no,field,
239InvertebrateArthropodaColeopteraArnaralunicollis,239,Invertebrate,Arthropoda,Coleoptera,Arnara,lunicollis,Herbivore,Herbivorous,AF,no,field,
1774InvertebrateArthropodaHydrophilidaeCercyonlateralis,1774,Invertebrate,Arthropoda,Hydrophilidae,Cercyon,lateralis,Herbivore,Herbivorous,BA,no,exclosure,
1774InvertebrateArthropodaCurculionidaeOtiorhynchusscaber,1774,Invertebrate,Arthropoda,Curculionidae,Otiorhynchus,scaber,Herbivore,Herbivorous,BA,no,exclosure,
1774InvertebrateArthropodaCurculionidaePotosiacuprea,1774,Invertebrate,Arthropoda,Curculionidae,Potosia,cuprea,Herbivore,Herbivorous,BA,no,exclosure,
1774InvertebrateArthropodaScarabaeidaeProteinusatomarius,1774,Invertebrate,Arthropoda,Scarabaeidae,Proteinus,atomarius,Herbivore,Herbivorous,BA,no,exclosure,
1774InvertebrateArthropodaElateridaeSelatosomusimpressus,1774,Invertebrate,Arthropoda,Elateridae,Selatosomus,impressus,Herbivore,Herbivorous,BA,no,exclosure,
1774InvertebrateArthropodaCurculionidaeStrophosomamelanogrammum,1774,Invertebrate,Arthropoda,Curculionidae,Strophosoma,melanogrammum,Herbivore,Herbivorous,BA,no,exclosure,
1774InvertebrateArthropodaStaphylinidaeSyntomiumaeneum,1774,Invertebrate,Arthropoda,Staphylinidae,Syntomium,aeneum,Herbivore,Herbivorous,BA,no,exclosure,
1774InvertebrateArthropodaCurculionidaeTomicusminor,1774,Invertebrate,Arthropoda,Curculionidae,Tomicus,minor,Herbivore,Herbivorous,BA,no,exclosure,
228VertebrateMammalia,228,Vertebrate,Mammalia,,,,Herbivore,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraA.bicinctus,252,Invertebrate,Arthropoda,Hemiptera,A.,bicinctus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraA.bifasciatus,252,Invertebrate,Arthropoda,Hemiptera,A.,bifasciatus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraA.flavostriatus,252,Invertebrate,Arthropoda,Hemiptera,A.,flavostriatus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraAgalliaconsobrina,252,Invertebrate,Arthropoda,Hemiptera,Agallia,consobrina,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraAphrodesalbifrons,252,Invertebrate,Arthropoda,Hemiptera,Aphrodes,albifrons,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraArocephaluspunctum,252,Invertebrate,Arthropoda,Hemiptera,Arocephalus,punctum,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraArthaldeuspascuellus,252,Invertebrate,Arthropoda,Hemiptera,Arthaldeus,pascuellus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraBatracomorphusirroratus,252,Invertebrate,Arthropoda,Hemiptera,Batracomorphus,irroratus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraCicadulapersimilis,252,Invertebrate,Arthropoda,Hemiptera,Cicadula,persimilis,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraConomelusanceps,252,Invertebrate,Arthropoda,Hemiptera,Conomelus,anceps,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraCriomorphusalbomarginatus,252,Invertebrate,Arthropoda,Hemiptera,Criomorphus,albomarginatus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraDeltocephaluscoronifer,252,Invertebrate,Arthropoda,Hemiptera,Deltocephalus,coronifer,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraDicranoneuracitrinella,252,Invertebrate,Arthropoda,Hemiptera,Dicranoneura,citrinella,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraDikraneuravariata,252,Invertebrate,Arthropoda,Hemiptera,Dikraneura,variata,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraE.tiliae,252,Invertebrate,Arthropoda,Hemiptera,E.,tiliae,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraElymanasupihurella,252,Invertebrate,Arthropoda,Hemiptera,Elymana,supihurella,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraErythroneuraparvula,252,Invertebrate,Arthropoda,Hemiptera,Erythroneura,parvula,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraEupelixcuspidata,252,Invertebrate,Arthropoda,Hemiptera,Eupelix,cuspidata,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraEupteryxnotata,252,Invertebrate,Arthropoda,Hemiptera,Eupteryx,notata,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraEuscelisplebejus,252,Invertebrate,Arthropoda,Hemiptera,Euscelis,plebejus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraJavesellapellucida,252,Invertebrate,Arthropoda,Hemiptera,Javesella,pellucida,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraK.vittipennis,252,Invertebrate,Arthropoda,Hemiptera,K.,vittipennis,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraKelisiaguttula,252,Invertebrate,Arthropoda,Hemiptera,Kelisia,guttula,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraLaodelphaxelegantulus,252,Invertebrate,Arthropoda,Hemiptera,Laodelphax,elegantulus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraM.scanicus,252,Invertebrate,Arthropoda,Hemiptera,M.,scanicus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraMacrosteleslaevis,252,Invertebrate,Arthropoda,Hemiptera,Macrosteles,laevis,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraMegophthalmusscabripennis,252,Invertebrate,Arthropoda,Hemiptera,Megophthalmus,scabripennis,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraMocydiacrocea,252,Invertebrate,Arthropoda,Hemiptera,Mocydia,crocea,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraMocydiopsisattenuate,252,Invertebrate,Arthropoda,Hemiptera,Mocydiopsis,attenuate,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraMuellerianellabrevipennis,252,Invertebrate,Arthropoda,Hemiptera,Muellerianella,brevipennis,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraMuirodelphaxexiguus,252,Invertebrate,Arthropoda,Hemiptera,Muirodelphax,exiguus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraN.exclamationis,252,Invertebrate,Arthropoda,Hemiptera,N.,exclamationis,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraN.Lineatus,252,Invertebrate,Arthropoda,Hemiptera,N.,Lineatus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraNeophilaenuscampestris,252,Invertebrate,Arthropoda,Hemiptera,Neophilaenus,campestris,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraPhilaenusspumarius,252,Invertebrate,Arthropoda,Hemiptera,Philaenus,spumarius,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraPsammotettixcephalotes,252,Invertebrate,Arthropoda,Hemiptera,Psammotettix,cephalotes,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraRhopalopyxadumbrate,252,Invertebrate,Arthropoda,Hemiptera,Rhopalopyx,adumbrate,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraRhytistylusprocess,252,Invertebrate,Arthropoda,Hemiptera,Rhytistylus,process,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraRibautodelphaxsp.,252,Invertebrate,Arthropoda,Hemiptera,Ribautodelphax,sp.,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraS.sordidus,252,Invertebrate,Arthropoda,Hemiptera,S.,sordidus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraStenocranusminutus,252,Invertebrate,Arthropoda,Hemiptera,Stenocranus,minutus,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraStreptanusaemulans,252,Invertebrate,Arthropoda,Hemiptera,Streptanus,aemulans,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraTurrutussocialis,252,Invertebrate,Arthropoda,Hemiptera,Turrutus,socialis,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraUlopatrivia,252,Invertebrate,Arthropoda,Hemiptera,Ulopa,trivia,Herbivorous,Herbivorous,AF,no,field,
252InvertebrateArthropodaHemipteraZyginascutellaris,252,Invertebrate,Arthropoda,Hemiptera,Zygina,scutellaris,Herbivorous,Herbivorous,AF,no,field,
285InvertebrateArthropodaColeoptera,285,Invertebrate,Arthropoda,Coleoptera,,,Herbivorous,Herbivorous,AF,no,field,
311InvertebrateArthropodaHemiptera,311,Invertebrate,Arthropoda,Hemiptera,,,Herbivorous,Herbivorous,AF,no,field,
402InvertebrateArthropodaHymenopteraPogonomyrmexspp.,402,Invertebrate,Arthropoda,Hymenoptera,Pogonomyrmex,spp.,Herbivorous,Herbivorous,AF,no,exclosure,
407InvertebrateArthropodaArachnida,407,Invertebrate,Arthropoda,Arachnida,,,Herbivorous,Herbivorous,AF,no,field,
416InvertebrateArthropodaMyriapodaJulidae,416,Invertebrate,Arthropoda,Myriapoda,Julidae,,Herbivorous,Herbivorous,AF,no,field,
416InvertebrateArthropodaLepidopteraLepidoptera-larvae,416,Invertebrate,Arthropoda,Lepidoptera,Lepidoptera-larvae,,Herbivorous,Herbivorous,AF,no,field,
416InvertebrateArthropodaOrthopteraOrthoptera,416,Invertebrate,Arthropoda,Orthoptera,Orthoptera,,Herbivorous,Herbivorous,AF,no,field,
416InvertebrateArthropodaMyriapodaPolydesmidae,416,Invertebrate,Arthropoda,Myriapoda,Polydesmidae,,Herbivorous,Herbivorous,AF,no,field,
444InvertebrateArthropodaHymenoptera,444,Invertebrate,Arthropoda,Hymenoptera,,,Herbivorous,Herbivorous,TB,no,,
606InvertebrateArthropodaHymenoptera,606,Invertebrate,Arthropoda,Hymenoptera,,,Herbivorous,Herbivorous,TB,no,field,
702InvertebrateArthropodaHymenoptera25% Pheidole,702,Invertebrate,Arthropoda,Hymenoptera,25% Pheidole,,Herbivorous,Herbivorous,TB,no,exclosure,
857InvertebrateArthropodaTephritisconura,857,Invertebrate,Arthropoda,,Tephritis,conura,Herbivorous,Herbivorous,TB,no,field,
857InvertebrateArthropodaXyphosiamiliaria,857,Invertebrate,Arthropoda,,Xyphosia,miliaria,Herbivorous,Herbivorous,TB,no,field,
883InvertebrateArthropodaOrthopteraGomphocerie,883,Invertebrate,Arthropoda,Orthoptera,Gomphocerie,,Herbivorous,Herbivorous,MD,no,field,
883InvertebrateArthropodaMelanoplinae,883,Invertebrate,Arthropoda,,Melanoplinae,,Herbivorous,Herbivorous,MD,no,field,
883InvertebrateArthropodaOdeipodie,883,Invertebrate,Arthropoda,,Odeipodie,,Herbivorous,Herbivorous,MD,no,field,
1321InvertebrateArthropodaDipteraChloropidaeNA,1321,Invertebrate,Arthropoda,Diptera,Chloropidae,NA,Herbivorous,Herbivorous,CB,no,field,
1321InvertebrateArthropodaHemipteraCicadellidaeNA,1321,Invertebrate,Arthropoda,Hemiptera,Cicadellidae,NA,Herbivorous,Herbivorous,CB,no,field,
1321InvertebrateArthropodaHemipteraDelphacidaeNA,1321,Invertebrate,Arthropoda,Hemiptera,Delphacidae,NA,Herbivorous,Herbivorous,CB,no,field,
1321InvertebrateArthropodaHymenopteraFormicidaeNA,1321,Invertebrate,Arthropoda,Hymenoptera,Formicidae,NA,Herbivorous,Herbivorous,CB,no,field,
1321InvertebrateArthropodaHymenopteraMyrmicadiscontinua,1321,Invertebrate,Arthropoda,Hymenoptera,Myrmica,discontinua,Herbivorous,Herbivorous,CB,no,field,
1321InvertebrateArthropodaPsocopteraPsocopteraNA,1321,Invertebrate,Arthropoda,Psocoptera,Psocoptera,NA,Herbivorous,Herbivorous,CB,no,field,
1321InvertebrateArthropodaDipteraSciaridaeNA,1321,Invertebrate,Arthropoda,Diptera,Sciaridae,NA,Herbivorous,Herbivorous,CB,no,field,
1321InvertebrateArthropodaThysanopteraThysanopteraNA,1321,Invertebrate,Arthropoda,Thysanoptera,Thysanoptera,NA,Herbivorous,Herbivorous,CB,no,field,
1370InvertebrateArthropodaOrthopteraNANA,1370,Invertebrate,Arthropoda,Orthoptera,NA,NA,Herbivorous,Herbivorous,CB,no,exclosure,
1399InvertebrateArthropodaHymenopteraNANA,1399,Invertebrate,Arthropoda,Hymenoptera,NA,NA,Herbivorous,Herbivorous,CB,no,exclosure,
1501InvertebrateArthropodaOrthopteraNANA,1501,Invertebrate,Arthropoda,Orthoptera,NA,NA,Herbivorous,Herbivorous,CB,no,field,"""seminatural"""
1528InvertebrateArthropodaOrthopteraDactylotumvariegatum,1528,Invertebrate,Arthropoda,Orthoptera,Dactylotum,variegatum,Herbivorous,Herbivorous,CB,no,field,
1586InvertebrateArthropodaHymenopteraSolenopsisinvicta,1586,Invertebrate,Arthropoda,Hymenoptera,Solenopsis,invicta,Herbivorous,Herbivorous,CB,no,exclosure,
1712InvertebrateArthropodaIsopodaTrinervitermestrinervoides,1712,Invertebrate,Arthropoda,Isopoda,Trinervitermes,trinervoides,Herbivorous,Herbivorous,BA,no,exclosure,
1767InvertebrateArthropoda,1767,Invertebrate,Arthropoda,,,,Herbivorous,Herbivorous,BA,no,exclosure,
1783InvertebrateArthropodaLepidopteraOcnogynaloewii,1783,Invertebrate,Arthropoda,Lepidoptera,Ocnogyna,loewii,Herbivorous,Herbivorous,BA,no,field,
1892InvertebrateArthropodaTenebrionidaeEleodesextricata,1892,Invertebrate,Arthropoda,Tenebrionidae,Eleodes,extricata,Herbivorous,Herbivorous,BA,no,field,
1892InvertebrateArthropodaTenebrionidaeEleodeshispilabris,1892,Invertebrate,Arthropoda,Tenebrionidae,Eleodes,hispilabris,Herbivorous,Herbivorous,BA,no,field,
1892InvertebrateArthropodaTenebrionidaeEleodesobsoleta,1892,Invertebrate,Arthropoda,Tenebrionidae,Eleodes,obsoleta,Herbivorous,Herbivorous,BA,no,field,
1926InvertebrateArthropodaDiptera,1926,Invertebrate,Arthropoda,Diptera,,,Herbivorous,Herbivorous,BA,no,field,semi-natural
2018InvertebrateArthropodaOrthoptera,2018,Invertebrate,Arthropoda,Orthoptera,,,Herbivorous,Herbivorous,BA,no,field,semi-natural
2018InvertebrateArthropodaOrthopteraAcridahungarica,2018,Invertebrate,Arthropoda,Orthoptera,Acrida,hungarica,Herbivorous,Herbivorous,BA,no,field,semi-natural
2018InvertebrateArthropodaOrthopteraAiolopusthalassinus,2018,Invertebrate,Arthropoda,Orthoptera,Aiolopus,thalassinus,Herbivorous,Herbivorous,BA,no,field,semi-natural
2018InvertebrateArthropodaOrthopteraChorthippusoschei,2018,Invertebrate,Arthropoda,Orthoptera,Chorthippus,oschei,Herbivorous,Herbivorous,BA,no,field,semi-natural
2018InvertebrateArthropodaOrthopteraChortippusmollis,2018,Invertebrate,Arthropoda,Orthoptera,Chortippus,mollis,Herbivorous,Herbivorous,BA,no,field,semi-natural
2018InvertebrateArthropodaOrthopteraDociostaurusbrevicollis,2018,Invertebrate,Arthropoda,Orthoptera,Dociostaurus,brevicollis,Herbivorous,Herbivorous,BA,no,field,semi-natural
2018InvertebrateArthropodaOrthopteraEuchorthippusdeclivus,2018,Invertebrate,Arthropoda,Orthoptera,Euchorthippus,declivus,Herbivorous,Herbivorous,BA,no,field,semi-natural
2018InvertebrateArthropodaOrthopteraOmocestushaemorrhoidalis,2018,Invertebrate,Arthropoda,Orthoptera,Omocestus,haemorrhoidalis,Herbivorous,Herbivorous,BA,no,field,semi-natural
2018InvertebrateArthropodaOrthopteraStenobothruscrassipes,2018,Invertebrate,Arthropoda,Orthoptera,Stenobothrus,crassipes,Herbivorous,Herbivorous,BA,no,field,semi-natural
2100InvertebrateArthropodaOrthoptera,2100,Invertebrate,Arthropoda,Orthoptera,,,Herbivorous,Herbivorous,BA,both,field,
2100InvertebrateArthropodaOrthopteraEncoptolophuscostalis,2100,Invertebrate,Arthropoda,Orthoptera,Encoptolophus,costalis,Herbivorous,Herbivorous,BA,both,field,
2100InvertebrateArthropodaOrthopteraMelanoplusgladstoni,2100,Invertebrate,Arthropoda,Orthoptera,Melanoplus,gladstoni,Herbivorous,Herbivorous,BA,both,field,
2100InvertebrateArthropodaOrthopteraMelanoplussanguinipes,2100,Invertebrate,Arthropoda,Orthoptera,Melanoplus,sanguinipes,Herbivorous,Herbivorous,BA,both,field,
2100InvertebrateArthropodaOrthopteraOpeiaobscura,2100,Invertebrate,Arthropoda,Orthoptera,Opeia,obscura,Herbivorous,Herbivorous,BA,both,field,
2117InvertebrateArthropodaHemiptera,2117,Invertebrate,Arthropoda,Hemiptera,,,Herbivorous,Herbivorous,BA,no,field,
2117InvertebrateArthropodaOrthoptera,2117,Invertebrate,Arthropoda,Orthoptera,,,Herbivorous,Herbivorous,BA,no,field,
2118InvertebrateArthropodaColeopteraleaf-beetles,2118,Invertebrate,Arthropoda,Coleoptera,leaf-beetles,,Herbivorous,Herbivorous,BA,no,field,semi-natural
2118InvertebrateArthropodaColeopteraweevils,2118,Invertebrate,Arthropoda,Coleoptera,weevils,,Herbivorous,Herbivorous,BA,no,field,semi-natural
2118InvertebrateArthropodaHemipteraleafhoppers,2118,Invertebrate,Arthropoda,Hemiptera,leafhoppers,,Herbivorous,Herbivorous,BA,no,field,semi-natural
2118InvertebrateArthropodaHemipteratrue bag,2118,Invertebrate,Arthropoda,Hemiptera,true bag,,Herbivorous,Herbivorous,BA,no,field,semi-natural
2118InvertebrateArthropodaHemipteratrue bug,2118,Invertebrate,Arthropoda,Hemiptera,true bug,,Herbivorous,Herbivorous,BA,no,field,semi-natural
2118InvertebrateArthropodaOrthopteraOrthopterans,2118,Invertebrate,Arthropoda,Orthoptera,Orthopterans,,Herbivorous,Herbivorous,BA,no,field,semi-natural
2662InvertebrateArthropodaElmidaeDubiraphia,2662,Invertebrate,Arthropoda,Elmidae,Dubiraphia,,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaPsephenidaeEctopria,2662,Invertebrate,Arthropoda,Psephenidae,Ectopria,,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaGlossosomatidaeGlossosomanigrior,2662,Invertebrate,Arthropoda,Glossosomatidae,Glossosoma,nigrior,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaGoeridaeGoera,2662,Invertebrate,Arthropoda,Goeridae,Goera,,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaDryopidaeHelichus,2662,Invertebrate,Arthropoda,Dryopidae,Helichus,,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaPsychomyiidaeLypediversa,2662,Invertebrate,Arthropoda,Psychomyiidae,Lype,diversa,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaThremmatidaeNeophylax,2662,Invertebrate,Arthropoda,Thremmatidae,Neophylax,,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaElmidaeOptioservus,2662,Invertebrate,Arthropoda,Elmidae,Optioservus,,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaElmidaeOulimniuslatiusculus,2662,Invertebrate,Arthropoda,Elmidae,Oulimnius,latiusculus,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaElmidaePromoresia,2662,Invertebrate,Arthropoda,Elmidae,Promoresia,,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaPsephenidaePsephenusherricki,2662,Invertebrate,Arthropoda,Psephenidae,Psephenus,herricki,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaOdontoceridaePsilotreta,2662,Invertebrate,Arthropoda,Odontoceridae,Psilotreta,,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaElmidaeStenelmis,2662,Invertebrate,Arthropoda,Elmidae,Stenelmis,,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateArthropodaHeptageniidaeStenonema,2662,Invertebrate,Arthropoda,Heptageniidae,Stenonema,,Herbivorous,Herbivorous,IH,no,field,
2728InvertebrateArthropoda,2728,Invertebrate,Arthropoda,,,,Herbivorous,Herbivorous,IH,no,field,
46VertebrateAvesZenaidamacroura,46,Vertebrate,Aves,,Zenaida,macroura,Herbivorous,Herbivorous,AF,no,exclosure,
111VertebrateAvesCacatuagalerita,111,Vertebrate,Aves,,Cacatua,galerita,Herbivorous,Herbivorous,AF,no,field,
111VertebrateAvesGeopeliastriata,111,Vertebrate,Aves,,Geopelia,striata,Herbivorous,Herbivorous,AF,no,field,
111VertebrateAvesPlatycercusadscitus,111,Vertebrate,Aves,,Platycercus,adscitus,Herbivorous,Herbivorous,AF,no,field,
1274VertebrateAvesSpinustristis,1274,Vertebrate,Aves,,Spinus,tristis,Herbivorous,Herbivorous,MD,no,field,
348InvertebrateMolluscaGastropoda,348,Invertebrate,Mollusca,Gastropoda,,,Herbivorous,Herbivorous,AF,no,field,
393InvertebrateMolluscaGastropodaAriantaarbustorum,393,Invertebrate,Mollusca,Gastropoda,Arianta,arbustorum,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaArionsubfuscus,393,Invertebrate,Mollusca,Gastropoda,Arion,subfuscus,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaClausiliaspp.,393,Invertebrate,Mollusca,Gastropoda,Clausilia,spp.,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaCochlicopaspp.,393,Invertebrate,Mollusca,Gastropoda,Cochlicopa,spp.,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaColumellaspp.,393,Invertebrate,Mollusca,Gastropoda,Columella,spp.,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaDerocerasreticulatum,393,Invertebrate,Mollusca,Gastropoda,Deroceras,reticulatum,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaDiscusruderatus,393,Invertebrate,Mollusca,Gastropoda,Discus,ruderatus,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaEuconulusspp.,393,Invertebrate,Mollusca,Gastropoda,Euconulus,spp.,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaLimaxtenellus,393,Invertebrate,Mollusca,Gastropoda,Limax,tenellus,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaNesovitreaspp.,393,Invertebrate,Mollusca,Gastropoda,Nesovitrea,spp.,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaPunctumpygmaeum,393,Invertebrate,Mollusca,Gastropoda,Punctum,pygmaeum,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaVitrinapellucida,393,Invertebrate,Mollusca,Gastropoda,Vitrina,pellucida,Herbivorous,Herbivorous,AF,no,exclosure,
393InvertebrateMolluscaGastropodaZoogenetesharpa,393,Invertebrate,Mollusca,Gastropoda,Zoogenetes,harpa,Herbivorous,Herbivorous,AF,no,exclosure,
