uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,Finest Taxonomic Rank
2779,,2008-2010,winter,gradient,,distance from water source (m),100,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),180,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),290,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),400,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),600,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),850,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),1200,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),1800,Plantae,,,,Shannon Diversity,N,6,
2779,,2008-2010,winter,gradient,,distance from water source (m),2400,Plantae,,,,Shannon Diversity,N,6,
2779,,2008-2010,winter,gradient,,distance from water source (m),3200,Plantae,,,,Shannon Diversity,N,4,
2779,,2008-2010,summer,gradient,,distance from water source (m),100,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),180,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),290,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),400,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),600,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),850,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),1200,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),1800,Mammalia,,,,Shannon Diversity,N,6,
2779,,2008-2010,summer,gradient,,distance from water source (m),2400,Mammalia,,,,Shannon Diversity,N,6,
2779,,2008-2010,summer,gradient,,distance from water source (m),3200,Mammalia,,,,Shannon Diversity,N,4,
2779,,2008-2010,winter,gradient,,distance from water source (m),100,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),180,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),290,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),400,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),600,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),850,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),1200,Mammalia,,,,Shannon Diversity,N,7,
2779,,2008-2010,winter,gradient,,distance from water source (m),1800,Mammalia,,,,Shannon Diversity,N,6,
2779,,2008-2010,winter,gradient,,distance from water source (m),2400,Mammalia,,,,Shannon Diversity,N,6,
2779,,2008-2010,winter,gradient,,distance from water source (m),3200,Mammalia,,,,Shannon Diversity,N,4,
2779,,2008-2010,summer,gradient,,distance from water source (m),100,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),180,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),290,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),400,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),600,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),850,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),1200,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),1800,Arthropoda,,,,Shannon Diversity,N,6,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),2400,Arthropoda,,,,Shannon Diversity,N,6,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),3200,Arthropoda,,,,Shannon Diversity,N,4,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),100,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),180,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),290,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),400,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),600,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),850,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),1200,Arthropoda,,,,Shannon Diversity,N,7,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),1800,Arthropoda,,,,Shannon Diversity,N,6,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),2400,Arthropoda,,,,Shannon Diversity,N,6,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),3200,Arthropoda,,,,Shannon Diversity,N,4,Formicidae
